first,last,index,season_code,first_hoh,first_in_house
Brittany,Petros,1,bbus1,na,0
Cassandra,Waldon,2,bbus1,na,1
Curtis,Kin,3,bbus1,na,0
Eddie,McGee,4,bbus1,na,0
George,Boswell,5,bbus1,na,0
Jamie,Kern,6,bbus1,na,0
Jean,Jordan,7,bbus1,na,0
Josh,Souza,8,bbus1,na,0
Karen,Fowler,9,bbus1,na,0
William,Collins,10,bbus1,na,0
Will,Kirby,11,bbus2,0,0
Nicole,Schaffrich,12,bbus2,0,1
Monica,Bailey,13,bbus2,0,0
Hardy,Ames-Hill,14,bbus2,0,0
Bunky,Miller,15,bbus2,0,0
Krista,Stegall,16,bbus2,0,0
Kent,Blackwelder,17,bbus2,0,0
"Mike ""Boogie""",Malin,18,bbus2,1,0
Shannon,Dragoo,19,bbus2,0,0
Autumn,Daly,20,bbus2,0,0
Sheryl,Braxton,21,bbus2,0,0
Justin,Sebik,22,bbus2,0,0
Lisa,Donahue,23,bbus3,1,0
Danielle,Reyes,24,bbus3,0,0
Jason,Guy,25,bbus3,0,0
Amy,Crews,26,bbus3,0,1
Marcellas,Reynolds,27,bbus3,0,0
Roddy,Mancuso,28,bbus3,0,0
Gerry,Lancaster,29,bbus3,0,0
Chiara,Berti,30,bbus3,0,0
Josh,Feinberg,31,bbus3,0,0
Eric,Ouellette,32,bbus3,0,0
Tonya,Paoni,33,bbus3,0,0
Lori,Olson,34,bbus3,0,0
Jun,Song,35,bbus4,0,0
Alison,Irwin,36,bbus4,0,0
Robert,Roman,37,bbus4,0,0
Erika,Landin,38,bbus4,0,0
Jee,Choe,39,bbus4,0,0
Jack,Owens,40,bbus4,0,0
Justin,Giovinco,41,bbus4,0,0
Nathan,Marlow,42,bbus4,1,0
Dana,Varela,43,bbus4,0,0
David,Lane,44,bbus4,0,0
Michelle,Maradie,45,bbus4,0,0
Amanda,Craig,46,bbus4,0,0
Scott,Weintraub,47,bbus4,0,1
Drew,Daniel,48,bbus5,0,0
"Michael ""Cowboy""",Ellis,49,bbus5,0,0
Diane,Henry,50,bbus5,0,0
"Jennifer ""Nakomis""",Dedmon,51,bbus5,0,0
Karen,Ganci,52,bbus5,0,0
Marvin,Latimer,53,bbus5,0,0
Adria,Klein,54,bbus5,0,1
Natalie,Carroll,55,bbus5,0,0
Will,Wikle,56,bbus5,0,0
Jase,Wirey,57,bbus5,1,0
Scott,Long,58,bbus5,0,0
Holly,King,59,bbus5,0,0
Lori,Valenti,60,bbus5,0,0
Mike,Lubinski,61,bbus5,0,0
Maggie,Ausburn,62,bbus6,0,0
Ivette,Corredero,63,bbus6,0,0
Janelle,Pierzina,64,bbus6,0,0
April,Lewis,65,bbus6,0,1
Howie,Gordon,66,bbus6,0,0
Beau,Beasley,67,bbus6,0,0
James,Rhine,68,bbus6,0,0
Rachel,Plencner,69,bbus6,1,0
Jennifer,Vasquez,70,bbus6,0,0
Kaysar,Ridha,71,bbus6,0,0
Sarah,Hrejsa,72,bbus6,0,0
Eric,Littmann,73,bbus6,0,0
Michael,Donnellan,74,bbus6,0,0
Ashlea,Evans,75,bbus6,0,0
"Mike ""Boogie""",Malin,76,bbus7,0,0
Erika,Landin,77,bbus7,0,0
Janelle,Pierzina,78,bbus7,1,1
Will,Kirby,79,bbus7,0,0
George,Boswell,80,bbus7,0,0
Danielle,Reyes,81,bbus7,0,0
James,Rhine,82,bbus7,0,0
Howie,Gordon,83,bbus7,0,0
Marcellas,Reynolds,84,bbus7,0,0
kaysar,Ridha,85,bbus7,0,0
Diane,Henry,86,bbus7,0,0
Jase,Wirey,87,bbus7,1,0
"Jennifer ""Nakomis""",Dedmon,88,bbus7,0,0
Alison,Irwin,89,bbus7,0,0
Dick,Donato,90,bbus8,0,0
Daniele,Donato,91,bbus8,0,0
Zach,Swerdzewski,92,bbus8,0,0
Jameka,Cameron,93,bbus8,0,0
Eric,Stein,94,bbus8,0,0
Jessica,Hughbanks,95,bbus8,0,0
Amber,Siyavus,96,bbus8,0,0
Jen,Johnson,97,bbus8,0,0
Dustin,Erikstrup,98,bbus8,0,0
Kail,Harbick,99,bbus8,1,0
Nick,Starcevic,100,bbus8,0,0
Mike,Dutz,101,bbus8,0,0
Joe,Barber,102,bbus8,0,1
Carol,Journey,103,bbus8,0,0
Adam,Jasinski,104,bbus9,0,0
Ryan,Quicksall,105,bbus9,0,0
Sheila,Kennedy,106,bbus9,0,0
Sharon,Obermueller,107,bbus9,0,0
Natalie,Cunial,108,bbus9,0,1
James,Zinkand,109,bbus9,0,0
Joshua,Welch,110,bbus9,0,0
Chelsia,Hart,111,bbus9,0,0
Matty,McDonald,112,bbus9,0,0
Allison,Nichols,113,bbus9,0,0
Alex,Coladonato,114,bbus9,1,0
Amanda,Hensen,115,bbus9,1,0
Jen,DiTurno,116,bbus9,0,0
Parker,Somerville,117,bbus9,0,0
Neil,Garcia,118,bbus9,0,0
Jacob,Heald,119,bbus9,0,0
Dan,Gheesling,120,bbus10,0,0
"Robert ""Memphis""",Garrett,121,bbus10,0,0
Jerry,MacDonald,122,bbus10,1,0
Keesha,Smith,123,bbus10,0,0
Renny,Martyn,124,bbus10,0,0
"Bryan ""Ollie""",Ollie,125,bbus10,0,0
Michelle,Costa,126,bbus10,0,0
April,Dowling,127,bbus10,0,1
Libra,Thompson,128,bbus10,0,0
Jessie,Godderz,129,bbus10,0,0
Angie,Swindell,130,bbus10,0,0
Steven,Daigle,131,bbus10,0,0
Brian,Hart,132,bbus10,0,0
Jordan,Lloyd,133,bbus11,0,0
Natalie,Martinez,134,bbus11,0,0
Kevin,Campbell,135,bbus11,0,0
Michele,Noonan,136,bbus11,0,0
Jeff,Schroeder,137,bbus11,0,0
Russell,Kairouz,138,bbus11,0,0
Lydia,Tavera,139,bbus11,0,0
Chima,Simone,140,bbus11,0,0
Jessie,Godderz,141,bbus11,1,0
Ronnie,Talbott,142,bbus11,0,0
Casey,Turner,143,bbus11,0,0
Laura,Crosby,144,bbus11,0,1
Braden,Bacha,145,bbus11,0,0
Hayden,Moss,146,bbus12,1,0
Lane,Elenburg,147,bbus12,0,0
Enzo,Palumbo,148,bbus12,0,0
Britney,Haynes,149,bbus12,0,0
Ragan,Fox,150,bbus12,0,0
Brendon,Villegas,151,bbus12,0,0
Matt,Hoffman,152,bbus12,0,0
Kathy,Hillis,153,bbus12,0,0
Rachel,Reilly,154,bbus12,0,1
Kristen,Bitting,155,bbus12,0,0
Andrew,Gordon,156,bbus12,0,0
Monet,Stunson,157,bbus12,0,0
Annie,Whittington,158,bbus12,0,0
Rachel,Reilly,159,bbus13,1,0
Porsche,Briggs,160,bbus13,0,0
Adam,Poch,161,bbus13,0,0
Jordan,Lloyd,162,bbus13,0,0
Kalia,Booker,163,bbus13,0,0
Shelly,Moore,164,bbus13,0,1
Jeff,Schroeder,165,bbus13,0,0
Daniele,Donato,166,bbus13,0,0
Brendon,Villegas,167,bbus13,0,0
Lawon,Exum,168,bbus13,0,0
Dominic,Briones,169,bbus13,0,0
Cassi,Colvin,170,bbus13,0,0
Keith,Henderson,171,bbus13,0,0
Dick,Donato,172,bbus13,0,0
Ian,Terry,173,bbus14,0,0
Dan,Gheesling,174,bbus14,0,0
Danielle,Murphree,175,bbus14,0,0
Shane,Meaney,176,bbus14,0,0
"Jenn ""JennCity""",Arroyo,177,bbus14,0,0
Joe,Arvin,178,bbus14,0,0
Frank,Eudy,179,bbus14,0,0
Britney,Haynes,180,bbus14,0,0
Ashley,Iocco,181,bbus14,0,1
"Mike ""Boogie""",Malin,182,bbus14,0,0
Wil,Heuser,183,bbus14,0,0
Janelle,Pierzina,184,bbus14,0,0
"Josephine ""JoJo""",Spatafora,185,bbus14,0,0
Willie,Hantz,186,bbus14,1,0
Kara,Monaco,187,bbus14,0,0
Jodi,Rollins,188,bbus14,0,0
Andy,Herren,189,bbus15,0,0
GinaMarie,Zimmerman,190,bbus15,0,1
Spencer,Clawson,191,bbus15,0,0
McCrae,Olson,192,bbus15,1,0
Judd,Daugherty,193,bbus15,0,0
Elissa,Slater,194,bbus15,0,0
Amanda,Zuckerman,195,bbus15,0,0
Aaryn,Gries,196,bbus15,0,0
Helen,Kim,197,bbus15,0,0
Jessie,Kowalski,198,bbus15,0,0
