,Feature,Importance
31,exp_sack,0.0
7,pocket_time,0.005414345951760631
13,batted_balls,0.008400716996488106
17,rpo_yards,0.008617321178320723
4,drop_pct,0.010050740484295908
16,rpo_plays,0.013192091341425783
21,rpo_rush_yards,0.014837379668331905
32,penalty,0.01508519137060611
25,qbr_total,0.016229309444117573
24,rank,0.01804360103384792
18,rpo_pass_att,0.021370770668812426
34,sack,0.028116524620858226
1,throwaways,0.030500516818606837
3,drops,0.030917281507973
20,rpo_rush_att,0.03328539408689964
30,run,0.041476320365271824
19,rpo_pass_yards,0.04470910174550808
2,spikes,0.04502849299784299
23,pa_pass_yards,0.06334029290977045
26,pts_added,0.06649867990914635
33,qbr_raw,0.0677932997543552
12,pressure_pct,0.07641924417932595
10,times_hit,0.08038308572993538
15,on_tgt_pct,0.089177236781794
29,pass,0.08961321726633498
9,times_hurried,0.09194691260802151
6,bad_throw_pct,0.0950325521890254
27,qb_plays,0.11821936824546925
0,pass_attempts,0.13139645850852094
14,on_tgt_throws,0.1468327211572135
5,bad_throws,0.19175562211077118
28,epa_total,0.19958982956522037
22,pa_pass_att,0.260270890820085
11,times_pressured,0.2998872319575337
8,times_blitzed,0.45859702046059225
