,NewGenPopulation,NewGenOrange,NewGenYellow,NewGenBlue,TotalPop,TotalOrange,TotalYellow,TotalBlue,ShareOrange,ShareYellow,ShareBlue,BestStrategy,Pred_O,Pred_Y,Pred_B
0,2972,1002,1011,959,5972,2002.0,2011.0,1959.0,0.33523107836570665,0.3367381111855325,0.32803081044876087,Yellow,,,
1,3027,1025,1027,975,8999,3027.0,3038.0,2934.0,0.3363707078564285,0.3375930658962107,0.32603622624736084,Yellow,,,
2,3011,991,1029,991,9010,3018.0,3067.0,2925.0,0.33496115427302997,0.34039955604883465,0.3246392896781354,Yellow,,,
3,3037,1029,1040,968,9075,3045.0,3096.0,2934.0,0.33553719008264465,0.34115702479338844,0.32330578512396696,Yellow,,,
4,2988,1002,1009,977,9036,3022.0,3078.0,2936.0,0.33444001770695,0.34063745019920316,0.32492253209384686,Yellow,,,
5,2926,944,987,995,8951,2975.0,3036.0,2940.0,0.33236509887163446,0.339179979890515,0.32845492123785053,Blue,,,
6,2896,932,971,993,8810,2878.0,2967.0,2965.0,0.3266742338251986,0.33677639046538027,0.3365493757094211,Blue,,,
7,2859,925,950,984,8681,2801.0,2908.0,2972.0,0.3226586798755904,0.33498444879622163,0.342356871328188,Blue,,,
8,2920,956,948,1016,8675,2813.0,2869.0,2993.0,0.32426512968299714,0.33072046109510084,0.345014409221902,Blue,,,
9,2975,965,957,1053,8754,2846.0,2855.0,3053.0,0.32510852181859723,0.32613662325793924,0.3487548549234636,Blue,,,
10,3082,1015,992,1075,8977,2936.0,2897.0,3144.0,0.3270580372061936,0.3227136014258661,0.3502283613679403,Blue,,,
11,3048,1037,985,1026,9105,3017.0,2934.0,3154.0,0.3313563975837452,0.32224052718286655,0.34640307523338826,Orange,,,
12,3089,1035,988,1066,9219,3087.0,2965.0,3167.0,0.3348519362186788,0.3216183967892396,0.3435296669920816,Blue,,,
13,3063,1039,946,1078,9200,3111.0,2919.0,3170.0,0.3381521739130435,0.31728260869565217,0.34456521739130436,Blue,,,
14,3089,1042,1001,1046,9241,3116.0,2935.0,3190.0,0.3371929444865274,0.3176063196623742,0.34520073585109834,Blue,,,
15,3153,1042,1041,1070,9305,3123.0,2988.0,3194.0,0.33562600752283717,0.3211176786673831,0.34325631380977967,Blue,,,
16,3084,1054,961,1069,9326,3138.0,3003.0,3185.0,0.33647866180570446,0.32200300235899637,0.34151833583529917,Blue,,,
17,3206,1085,1095,1026,9443,3181.0,3097.0,3165.0,0.3368632849729959,0.32796780684104626,0.33516890818595785,Yellow,,,
18,3259,1106,1044,1109,9549,3245.0,3100.0,3204.0,0.3398261598073097,0.32464132369881665,0.3355325164938737,Blue,,,
19,3290,1128,1099,1063,9755,3319.0,3238.0,3198.0,0.34023577652485903,0.3319323423885187,0.32783188108662226,Orange,,,
20,3250,1119,1071,1060,9799,3353.0,3214.0,3232.0,0.3421777732421676,0.32799265231146035,0.32982957444637206,Orange,,,
21,3282,1157,1066,1059,9822,3404.0,3236.0,3182.0,0.3465689268987986,0.3294644675218896,0.32396660557931173,Orange,,,
22,3272,1111,1100,1061,9804,3387.0,3237.0,3180.0,0.34547123623011017,0.33017135862913094,0.3243574051407589,Orange,,,
23,3320,1131,1124,1065,9874,3399.0,3290.0,3185.0,0.3442373911282155,0.33319829856187966,0.3225643103099048,Orange,,,
24,3238,1138,1051,1049,9830,3380.0,3275.0,3175.0,0.34384537131230924,0.33316378433367244,0.3229908443540183,Orange,,,
25,3237,1073,1125,1039,9795,3342.0,3300.0,3153.0,0.3411944869831547,0.33690658499234305,0.3218989280245023,Yellow,,,
26,3309,1121,1101,1087,9784,3332.0,3277.0,3175.0,0.34055600981193784,0.3349345870809485,0.3245094031071137,Orange,,,
27,3375,1169,1125,1081,9921,3363.0,3351.0,3207.0,0.33897792561233747,0.3377683701239794,0.3232537042636831,Orange,,,
28,3426,1119,1131,1176,10110,3409.0,3357.0,3344.0,0.33719090009891195,0.33204747774480714,0.3307616221562809,Blue,,,
29,3427,1148,1160,1119,10228,3436.0,3416.0,3376.0,0.33594055533828704,0.33398513883457176,0.3300743058271412,Yellow,,,
30,3442,1121,1206,1115,10295,3388.0,3497.0,3410.0,0.329091792132103,0.3396794560466246,0.3312287518212725,Yellow,,,
31,3391,1042,1168,1181,10260,3311.0,3534.0,3415.0,0.32270955165692006,0.34444444444444444,0.3328460038986355,Blue,,,
32,3389,1050,1146,1193,10222,3213.0,3520.0,3489.0,0.31432205047935824,0.34435531207200154,0.34132263744864016,Blue,,,
33,3416,1067,1140,1209,10196,3159.0,3454.0,3583.0,0.30982738328756376,0.33876029815613967,0.35141231855629657,Blue,,,
34,3370,1029,1157,1184,10175,3146.0,3443.0,3586.0,0.3091891891891892,0.33837837837837836,0.35243243243243244,Blue,,,
35,3348,1071,1041,1236,10134,3167.0,3338.0,3629.0,0.31251233471482137,0.32938622459048744,0.35810144069469113,Blue,,,
36,3309,1053,1062,1194,10027,3153.0,3260.0,3614.0,0.31445098234766133,0.32512217014062034,0.3604268475117184,Blue,,,
37,3288,1051,1046,1191,9945,3175.0,3149.0,3621.0,0.3192559074912016,0.3166415284062343,0.3641025641025641,Blue,,,
38,3259,1105,949,1205,9856,3209.0,3057.0,3590.0,0.325588474025974,0.3101663961038961,0.36424512987012986,Blue,,,
39,3284,1140,945,1199,9831,3296.0,2940.0,3595.0,0.3352659953209236,0.29905401281660055,0.36567999186247585,Blue,,,
40,3255,1167,931,1157,9798,3412.0,2825.0,3561.0,0.34823433353745664,0.2883241477852623,0.3634415186772811,Orange,,,
41,3209,1223,908,1078,9748,3530.0,2784.0,3434.0,0.36212556421830117,0.2855970455478047,0.35227739023389415,Orange,,,
42,3174,1214,909,1051,9638,3604.0,2748.0,3286.0,0.37393650134882755,0.2851213944801826,0.34094210417098986,Orange,,,
43,3102,1211,893,998,9485,3648.0,2710.0,3127.0,0.384607274644175,0.2857142857142857,0.32967843964153926,Orange,,,
44,3144,1242,941,961,9420,3667.0,2743.0,3010.0,0.38927813163481956,0.29118895966029723,0.3195329087048832,Orange,,,
45,3089,1260,960,869,9335,3713.0,2794.0,2828.0,0.39775040171397963,0.29930369576861277,0.3029459025174076,Orange,,,
46,3093,1263,985,845,9326,3765.0,2886.0,2675.0,0.4037100579026378,0.30945743083851596,0.28683251125884623,Orange,,,
47,3209,1263,1134,812,9391,3786.0,3079.0,2526.0,0.4031519539985092,0.3278671068043872,0.2689809391971036,Orange,,,
48,3190,1210,1164,816,9492,3736.0,3283.0,2473.0,0.3935946059839865,0.34587020648967554,0.260535187526338,Orange,,,
49,3163,1167,1217,779,9562,3640.0,3515.0,2407.0,0.3806734992679356,0.36760092030955865,0.25172558042250576,Yellow,,,
50,3101,1030,1304,767,9454,3407.0,3685.0,2362.0,0.3603765601861646,0.38978210281362385,0.24984133700021155,Yellow,,,
51,3089,978,1319,792,9353,3175.0,3840.0,2338.0,0.339463273815888,0.4105634555757511,0.24997327060836094,Yellow,,,
52,2963,819,1317,827,9153,2827.0,3940.0,2386.0,0.30886048290178086,0.4304599584835573,0.26067955861466185,Yellow,,,
53,2926,767,1288,871,8978,2564.0,3924.0,2490.0,0.2855869904210292,0.43706838939630205,0.27734462018266876,Yellow,,,
